comparison,reference_model,challenger_model,wilcoxon_statistic,p_value,n
rf_vs_geopfnmix_lite,rf,geopfnmix_no_residual,19524464.0,0.0,12445
rf_vs_geopfnmix_full,rf,geopfnmix,19533969.0,0.0,12445
geopfnmix_lite_vs_full,geopfnmix_no_residual,geopfnmix,38716341.0,0.987505699582974,12445
catboost_vs_geopfnmix_catboost,catboost,geopfnmix_catboost,34056956.0,2.5540605340383715e-31,12445
geopfnmix_full_vs_geopfnmix_catboost,geopfnmix,geopfnmix_catboost,26240878.0,6.498491905674222e-213,12445
geopfnmix_full_lightgbm_vs_tabpfn,geopfnmix,geopfnmix_tabpfn,38005986.0,0.07377568955086496,12445
geopfnmix_lite_tabpfn_vs_full_tabpfn,geopfnmix_no_residual_tabpfn,geopfnmix_tabpfn,36696656.0,4.3086012741405196e-07,12445
geopfnmix_lite_lightgbm_vs_tabpfn,geopfnmix_no_residual,geopfnmix_no_residual_tabpfn,38086927.0,0.11272718360316523,12445
geopfnmix_catboost_lightgbm_vs_tabpfn,geopfnmix_catboost,geopfnmix_catboost_tabpfn,37730521.0,0.01331281765765244,12445
tabpfn_vs_geopfnmix_lite_tabpfn,tabpfn,geopfnmix_no_residual_tabpfn,28431222.0,2.1056046269106415e-145,12445
tabpfn_vs_geopfnmix_full_tabpfn,tabpfn,geopfnmix_tabpfn,28552225.0,4.735469364462103e-142,12445
tabpfn_vs_geopfnmix_catboost_tabpfn,tabpfn,geopfnmix_catboost_tabpfn,22621424.0,0.0,12445
